dataset,commodity,unit_source,is_total,year,measure_type,value,unit
MALAY_IMPORT,"Beef (fresh, frozen & processed)",M. Tonnes,FALSE,2015,quantity,9319.2,tonnes
MALAY_IMPORT,"Beef (fresh, frozen & processed)",M. Tonnes,FALSE,2015,value_cif,124.26,million_rm
MALAY_IMPORT,Buffaloes for breeding,No,FALSE,2015,quantity,38,head
MALAY_IMPORT,Buffaloes for breeding,No,FALSE,2015,value_cif,0.06,million_rm
MALAY_IMPORT,Buffaloes for slaughter,No,FALSE,2015,quantity,166,head
MALAY_IMPORT,Buffaloes for slaughter,No,FALSE,2015,value_cif,0.16,million_rm
MALAY_IMPORT,Cattle for breeding,No,FALSE,2015,quantity,90,head
MALAY_IMPORT,Cattle for breeding,No,FALSE,2015,value_cif,0.05,million_rm
MALAY_IMPORT,Cattle for slaughter,No,FALSE,2015,quantity,,head
MALAY_IMPORT,Cattle for slaughter,No,FALSE,2015,value_cif,,million_rm
MALAY_IMPORT,Day old chicks & ducklings,No,FALSE,2015,quantity,4319625,head
MALAY_IMPORT,Day old chicks & ducklings,No,FALSE,2015,value_cif,17.69,million_rm
MALAY_IMPORT,Fowl and Poultry,No,FALSE,2015,quantity,46188547,head
MALAY_IMPORT,Fowl and Poultry,No,FALSE,2015,value_cif,548.2,million_rm
MALAY_IMPORT,Live Ducks,No,FALSE,2015,quantity,5622606,head
MALAY_IMPORT,Live Ducks,No,FALSE,2015,value_cif,138.8,million_rm
MALAY_IMPORT,Live goats,No,FALSE,2015,quantity,35,head
MALAY_IMPORT,Live goats,No,FALSE,2015,value_cif,0.02,million_rm
MALAY_IMPORT,Live sheep,No,FALSE,2015,quantity,,head
MALAY_IMPORT,Live sheep,No,FALSE,2015,value_cif,,million_rm
MALAY_IMPORT,Live swine,No,FALSE,2015,quantity,,head
MALAY_IMPORT,Live swine,No,FALSE,2015,value_cif,,million_rm
MALAY_IMPORT,"Mutton (fresh, frozen & processed)",M. Tonnes,FALSE,2015,quantity,60.8,tonnes
MALAY_IMPORT,"Mutton (fresh, frozen & processed)",M. Tonnes,FALSE,2015,value_cif,0.67,million_rm
MALAY_IMPORT,Poultry Meat ,M. Tonnes,FALSE,2015,quantity,33096,tonnes
MALAY_IMPORT,Poultry Meat ,M. Tonnes,FALSE,2015,value_cif,370.03,million_rm
MALAY_IMPORT,"Swine Meat (fresh, frozen & processed)",M. Tonnes,FALSE,2015,quantity,2565.2,tonnes
MALAY_IMPORT,"Swine Meat (fresh, frozen & processed)",M. Tonnes,FALSE,2015,value_cif,45.54,million_rm
MALAY_IMPORT,"Beef (fresh, frozen & processed)",M. Tonnes,FALSE,2016,quantity,4821.5,tonnes
MALAY_IMPORT,"Beef (fresh, frozen & processed)",M. Tonnes,FALSE,2016,value_cif,79.46,million_rm
MALAY_IMPORT,Buffaloes for breeding,No,FALSE,2016,quantity,32,head
MALAY_IMPORT,Buffaloes for breeding,No,FALSE,2016,value_cif,0.03,million_rm
MALAY_IMPORT,Buffaloes for slaughter,No,FALSE,2016,quantity,147,head
MALAY_IMPORT,Buffaloes for slaughter,No,FALSE,2016,value_cif,0.09,million_rm
MALAY_IMPORT,Cattle for breeding,No,FALSE,2016,quantity,76,head
MALAY_IMPORT,Cattle for breeding,No,FALSE,2016,value_cif,0.05,million_rm
MALAY_IMPORT,Cattle for slaughter,No,FALSE,2016,quantity,,head
MALAY_IMPORT,Cattle for slaughter,No,FALSE,2016,value_cif,,million_rm
MALAY_IMPORT,Day old chicks & ducklings,No,FALSE,2016,quantity,4576379,head
MALAY_IMPORT,Day old chicks & ducklings,No,FALSE,2016,value_cif,29.87,million_rm
MALAY_IMPORT,Fowl and Poultry,No,FALSE,2016,quantity,46173485,head
MALAY_IMPORT,Fowl and Poultry,No,FALSE,2016,value_cif,563.34,million_rm
MALAY_IMPORT,Live Ducks,No,FALSE,2016,quantity,5563219,head
MALAY_IMPORT,Live Ducks,No,FALSE,2016,value_cif,141.68,million_rm
MALAY_IMPORT,Live goats,No,FALSE,2016,quantity,30,head
MALAY_IMPORT,Live goats,No,FALSE,2016,value_cif,0.01,million_rm
MALAY_IMPORT,Live sheep,No,FALSE,2016,quantity,,head
MALAY_IMPORT,Live sheep,No,FALSE,2016,value_cif,,million_rm
MALAY_IMPORT,Live swine,No,FALSE,2016,quantity,,head
MALAY_IMPORT,Live swine,No,FALSE,2016,value_cif,,million_rm
MALAY_IMPORT,"Mutton (fresh, frozen & processed)",M. Tonnes,FALSE,2016,quantity,23.5,tonnes
MALAY_IMPORT,"Mutton (fresh, frozen & processed)",M. Tonnes,FALSE,2016,value_cif,0.29,million_rm
MALAY_IMPORT,Poultry Meat ,M. Tonnes,FALSE,2016,quantity,39668.4,tonnes
MALAY_IMPORT,Poultry Meat ,M. Tonnes,FALSE,2016,value_cif,469.24,million_rm
MALAY_IMPORT,"Swine Meat (fresh, frozen & processed)",M. Tonnes,FALSE,2016,quantity,2604.6,tonnes
MALAY_IMPORT,"Swine Meat (fresh, frozen & processed)",M. Tonnes,FALSE,2016,value_cif,44.14,million_rm
