dataset,commodity,unit_source,is_total,year,measure_type,value,unit
MALAY_IMPORT,"Beef (fresh, frozen & processed)",M. Tonnes,FALSE,2015,quantity,177763.5,tonnes
MALAY_IMPORT,"Beef (fresh, frozen & processed)",M. Tonnes,FALSE,2015,value_cif,2205.6,million_rm
MALAY_IMPORT,Buffaloes for slaughter,No,FALSE,2015,quantity,510,head
MALAY_IMPORT,Buffaloes for slaughter,No,FALSE,2015,value_cif,0.87,million_rm
MALAY_IMPORT,Cattle for breeding,No,FALSE,2015,quantity,491,head
MALAY_IMPORT,Cattle for breeding,No,FALSE,2015,value_cif,0.56,million_rm
MALAY_IMPORT,Cattle for slaughter,No,FALSE,2015,quantity,68047,head
MALAY_IMPORT,Cattle for slaughter,No,FALSE,2015,value_cif,211.39,million_rm
MALAY_IMPORT,Day old chicks & ducklings,No,FALSE,2015,quantity,1457635,head
MALAY_IMPORT,Day old chicks & ducklings,No,FALSE,2015,value_cif,49.67,million_rm
MALAY_IMPORT,Fowl and Poultry,No,FALSE,2015,quantity,162839,head
MALAY_IMPORT,Fowl and Poultry,No,FALSE,2015,value_cif,4.21,million_rm
MALAY_IMPORT,Live Ducks,No,FALSE,2015,quantity,3545,head
MALAY_IMPORT,Live Ducks,No,FALSE,2015,value_cif,0.15,million_rm
MALAY_IMPORT,Live goats,No,FALSE,2015,quantity,86386,head
MALAY_IMPORT,Live goats,No,FALSE,2015,value_cif,61.81,million_rm
MALAY_IMPORT,Live sheep,No,FALSE,2015,quantity,45756,head
MALAY_IMPORT,Live sheep,No,FALSE,2015,value_cif,31.74,million_rm
MALAY_IMPORT,Live swine,No,FALSE,2015,quantity,276,head
MALAY_IMPORT,Live swine,No,FALSE,2015,value_cif,2.07,million_rm
MALAY_IMPORT,"Mutton (fresh, frozen & processed)",M. Tonnes,FALSE,2015,quantity,34131.4,tonnes
MALAY_IMPORT,"Mutton (fresh, frozen & processed)",M. Tonnes,FALSE,2015,value_cif,521.73,million_rm
MALAY_IMPORT,Poultry Meat ,M. Tonnes,FALSE,2015,quantity,56574.5,tonnes
MALAY_IMPORT,Poultry Meat ,M. Tonnes,FALSE,2015,value_cif,451.11,million_rm
MALAY_IMPORT,"Swine Meat (fresh, frozen & processed)",M. Tonnes,FALSE,2015,quantity,17855.8,tonnes
MALAY_IMPORT,"Swine Meat (fresh, frozen & processed)",M. Tonnes,FALSE,2015,value_cif,188.66,million_rm
MALAY_IMPORT,"Beef (fresh, frozen & processed)",M. Tonnes,FALSE,2016,quantity,165019.6,tonnes
MALAY_IMPORT,"Beef (fresh, frozen & processed)",M. Tonnes,FALSE,2016,value_cif,2101.77,million_rm
MALAY_IMPORT,Buffaloes for slaughter,No,FALSE,2016,quantity,905,head
