dataset,year,livestock,gender,measure_type,value,unit
MALAY_RUMINANT_SWINE_PRICE,2010,Buffalo,Female,price,7.07,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2010,Buffalo,Male,price,7.63,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2010,Cross Bred Cattle,Female,price,7.58,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2010,Cross Bred Cattle,Male,price,8.17,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2010,Cross Bred Goat,Female,price,16.25,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2010,Cross Bred Goat,Male,price,16.32,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2010,Local Cattle,Female,price,7.52,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2010,Local Cattle,Male,price,8.1,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2010,Local Goat,Female,price,14.94,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2010,Local Goat,Male,price,16.2,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2010,Sheep,Female,price,14.57,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2010,Sheep,Male,price,15.07,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2010,Swine,Female,price,13.56,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2010,Swine,Male,price,7.8,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2011,Buffalo,Female,price,6.78,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2011,Buffalo,Male,price,7.33,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2011,Cross Bred Cattle,Female,price,7.2,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2011,Cross Bred Cattle,Male,price,7.78,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2011,Cross Bred Goat,Female,price,15.05,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2011,Cross Bred Goat,Male,price,15.5,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2011,Local Cattle,Female,price,7.15,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2011,Local Cattle,Male,price,7.73,RM/Kg
MALAY_RUMINANT_SWINE_PRICE,2011,Local Goat,Female,price,13.85,RM/Kg
