dataset,region,commodity,measure_type,year,value,unit,flag
MALAY_SARADIRI,Malaysia,Beef,ratio_percentage,2014,25.28,percentage,
MALAY_SARADIRI,Malaysia,Beef,ratio_percentage,2015,23.06,percentage,
MALAY_SARADIRI,Malaysia,Beef,ratio_percentage,2016,23.04,percentage,
MALAY_SARADIRI,Malaysia,Beef,ratio_percentage,2017,22.17,percentage,
MALAY_SARADIRI,Malaysia,Beef,ratio_percentage,2018,22.49,percentage,
MALAY_SARADIRI,Malaysia,Beef,ratio_percentage,2019,22.28,percentage,
MALAY_SARADIRI,Malaysia,Beef,ratio_percentage,2020,21.72,percentage,estimate
MALAY_SARADIRI,Peninsular Malaysia,Beef,ratio_percentage,2014,26.68,percentage,
MALAY_SARADIRI,Peninsular Malaysia,Beef,ratio_percentage,2015,24.14,percentage,
MALAY_SARADIRI,Peninsular Malaysia,Beef,ratio_percentage,2016,23.93,percentage,
MALAY_SARADIRI,Peninsular Malaysia,Beef,ratio_percentage,2017,23.19,percentage,
MALAY_SARADIRI,Peninsular Malaysia,Beef,ratio_percentage,2018,23.69,percentage,
MALAY_SARADIRI,Peninsular Malaysia,Beef,ratio_percentage,2019,23.66,percentage,
MALAY_SARADIRI,Peninsular Malaysia,Beef,ratio_percentage,2020,22.44,percentage,estimate
MALAY_SARADIRI,Malaysia,Mutton,ratio_percentage,2014,12.73,percentage,
MALAY_SARADIRI,Malaysia,Mutton,ratio_percentage,2015,11.45,percentage,
MALAY_SARADIRI,Malaysia,Mutton,ratio_percentage,2016,13,percentage,
MALAY_SARADIRI,Malaysia,Mutton,ratio_percentage,2017,10.23,percentage,
MALAY_SARADIRI,Malaysia,Mutton,ratio_percentage,2018,10.95,percentage,
MALAY_SARADIRI,Malaysia,Mutton,ratio_percentage,2019,11.84,percentage,
MALAY_SARADIRI,Malaysia,Mutton,ratio_percentage,2020,10.72,percentage,estimate
MALAY_SARADIRI,Peninsular Malaysia,Mutton,ratio_percentage,2014,13.57,percentage,
MALAY_SARADIRI,Peninsular Malaysia,Mutton,ratio_percentage,2015,12.18,percentage,
MALAY_SARADIRI,Peninsular Malaysia,Mutton,ratio_percentage,2016,13.69,percentage,
MALAY_SARADIRI,Peninsular Malaysia,Mutton,ratio_percentage,2017,10.9,percentage,
MALAY_SARADIRI,Peninsular Malaysia,Mutton,ratio_percentage,2018,11.45,percentage,
MALAY_SARADIRI,Peninsular Malaysia,Mutton,ratio_percentage,2019,12.52,percentage,
MALAY_SARADIRI,Peninsular Malaysia,Mutton,ratio_percentage,2020,11.36,percentage,estimate
MALAY_SARADIRI,Malaysia,Pork,ratio_percentage,2014,95.66,percentage,
MALAY_SARADIRI,Malaysia,Pork,ratio_percentage,2015,93.57,percentage,
MALAY_SARADIRI,Malaysia,Pork,ratio_percentage,2016,90.96,percentage,
MALAY_SARADIRI,Malaysia,Pork,ratio_percentage,2017,92.12,percentage,
MALAY_SARADIRI,Malaysia,Pork,ratio_percentage,2018,90.95,percentage,
MALAY_SARADIRI,Malaysia,Pork,ratio_percentage,2019,92.25,percentage,
MALAY_SARADIRI,Malaysia,Pork,ratio_percentage,2020,91.62,percentage,estimate
MALAY_SARADIRI,Peninsular Malaysia,Pork,ratio_percentage,2014,94.73,percentage,
MALAY_SARADIRI,Peninsular Malaysia,Pork,ratio_percentage,2015,91.38,percentage,
MALAY_SARADIRI,Peninsular Malaysia,Pork,ratio_percentage,2016,89.29,percentage,
MALAY_SARADIRI,Peninsular Malaysia,Pork,ratio_percentage,2017,90.52,percentage,
MALAY_SARADIRI,Peninsular Malaysia,Pork,ratio_percentage,2018,89.42,percentage,
MALAY_SARADIRI,Peninsular Malaysia,Pork,ratio_percentage,2019,90.98,percentage,
MALAY_SARADIRI,Peninsular Malaysia,Pork,ratio_percentage,2020,90.27,percentage,estimate
MALAY_SARADIRI,Malaysia,Poultry Meat,ratio_percentage,2014,104.27,percentage,
MALAY_SARADIRI,Malaysia,Poultry Meat,ratio_percentage,2015,104.16,percentage,
MALAY_SARADIRI,Malaysia,Poultry Meat,ratio_percentage,2016,103.24,percentage,
MALAY_SARADIRI,Malaysia,Poultry Meat,ratio_percentage,2017,103.68,percentage,
MALAY_SARADIRI,Malaysia,Poultry Meat,ratio_percentage,2018,104.02,percentage,
MALAY_SARADIRI,Malaysia,Poultry Meat,ratio_percentage,2019,104.1,percentage,
MALAY_SARADIRI,Malaysia,Poultry Meat,ratio_percentage,2020,104.51,percentage,estimate
MALAY_SARADIRI,Peninsular Malaysia,Poultry Meat,ratio_percentage,2014,105.09,percentage,
MALAY_SARADIRI,Peninsular Malaysia,Poultry Meat,ratio_percentage,2015,104.78,percentage,
MALAY_SARADIRI,Peninsular Malaysia,Poultry Meat,ratio_percentage,2016,103.72,percentage,
MALAY_SARADIRI,Peninsular Malaysia,Poultry Meat,ratio_percentage,2017,104.22,percentage,
MALAY_SARADIRI,Peninsular Malaysia,Poultry Meat,ratio_percentage,2018,104.4,percentage,
MALAY_SARADIRI,Peninsular Malaysia,Poultry Meat,ratio_percentage,2019,104.77,percentage,
MALAY_SARADIRI,Peninsular Malaysia,Poultry Meat,ratio_percentage,2020,104.8,percentage,estimate
