dataset,state,farm_type,year,value,unit,measure_type
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Beef Cattle Farm,2015,1847,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Beef Cattle Farm,2016,2083,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Beef Cattle Farm,2017,2189,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Beef Cattle Farm,2018,2230,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Buffalo Farm,2015,79,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Buffalo Farm,2016,97,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Buffalo Farm,2017,112,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Buffalo Farm,2018,122,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Chicken Meat Farm,2015,629,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Chicken Meat Farm,2016,624,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Chicken Meat Farm,2017,616,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Chicken Meat Farm,2018,616,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Duck Meat Farm,2015,25,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Duck Meat Farm,2016,2,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Duck Meat Farm,2017,23,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Duck Meat Farm,2018,23,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Goat Farm,2015,610,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Goat Farm,2016,698,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Goat Farm,2017,760,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Goat Farm,2018,797,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Pig Farm,2015,50,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Pig Farm,2016,48,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Pig Farm,2017,47,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Pig Farm,2018,88,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Quail Meat Farm,2015,7,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Quail Meat Farm,2016,6,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Quail Meat Farm,2017,6,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Johor,Quail Meat Farm,2018,6,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Beef Cattle Farm,2015,2473,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Beef Cattle Farm,2016,2654,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Beef Cattle Farm,2017,2677,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Beef Cattle Farm,2018,2262,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Buffalo Farm,2015,187,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Buffalo Farm,2016,190,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Buffalo Farm,2017,192,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Buffalo Farm,2018,191,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Chicken Meat Farm,2015,244,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Chicken Meat Farm,2016,238,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Chicken Meat Farm,2017,218,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Chicken Meat Farm,2018,200,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Duck Meat Farm,2015,2,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Duck Meat Farm,2016,3,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Duck Meat Farm,2017,2,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Duck Meat Farm,2018,2,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Goat Farm,2015,2067,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Goat Farm,2016,2204,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Goat Farm,2017,2255,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Goat Farm,2018,2271,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Pig Farm,2015,1,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Pig Farm,2016,2,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Pig Farm,2017,2,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Pig Farm,2018,10,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Quail Meat Farm,2015,4,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Quail Meat Farm,2016,5,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Quail Meat Farm,2017,4,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kedah,Quail Meat Farm,2018,3,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Beef Cattle Farm,2015,6773,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Beef Cattle Farm,2016,7138,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Beef Cattle Farm,2017,7296,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Beef Cattle Farm,2018,7060,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Buffalo Farm,2015,40,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Buffalo Farm,2016,42,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Buffalo Farm,2017,46,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Buffalo Farm,2018,48,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Chicken Meat Farm,2015,207,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Chicken Meat Farm,2016,212,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Chicken Meat Farm,2017,186,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Chicken Meat Farm,2018,209,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Duck Meat Farm,2015,25,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Duck Meat Farm,2016,29,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Duck Meat Farm,2017,37,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Duck Meat Farm,2018,41,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Goat Farm,2015,587,farms,count
